ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
REGN,91,43.21,,,,,,,,,none,late,large,False,45.85,60,,,,,,9,,,,,,,50,unknown,69.0,,75.0,,86.0,,0.87000,0.95,0.95,0.65,0.7
CADL,92,43.08,,,,,,,,,none,late,small,False,23.09,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
PACB,93,42.98,,,,,,,,,none,late,small,False,66.84,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
MEDP,94,42.95,,,,,,,,,none,late,large,False,34.23,60,,,,,,3,,,,,,,50,unknown,50,,50,,80.0,,0.80000,0.95,0.95,0.30,0.7
SRPT,95,42.82,,,,,,,,,none,late,mid,False,15.02,60,,,,,,1,,,,,,,48.75,exceptional,81.0,,100.0,,86.0,,0.87500,0.95,0.95,0.65,0.7
KNSA,96,42.78,,,,,,,,,none,late,mid,False,43.65,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,75.0,,84.0,,0.87000,0.95,0.95,0.65,0.7
HALO,97,42.15,,,,,,,,,none,late,mid,False,30.64,60,,,,,,0,,,,,,,50,unknown,69.0,,100.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
TYRA,98,42.09,,,,,,,,,none,mid,small,False,92.75,60,,,,,,3,Baker Bros; Perceptive; RA Capital,,,,,,50,unknown,50,,100.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
HRMY,99,41.85,,,,,,,,,none,late,mid,False,37.96,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,76.0,,0.83000,0.95,0.95,0.45,0.7
RAPP,100,41.71,,,,,,,,,none,mid,small,False,45.12,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,35.0,,0.74000,0.95,0.85,0.45,0.7
DSGN,101,41.71,,,,,,,,,none,mid,small,False,92.75,60,,,,,,3,Baker Bros; RA Capital,,,,,,50,unknown,50,,10.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
IRON,102,41.68,,,,,,,,,none,late,mid,False,31.26,60,,,,,,7,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
MDGL,103,41.54,,,,,,,,,none,late,large,False,45.41,60,,,,,,11,Baker Bros; Perceptive,,,,,,50,unknown,69.8,,100.0,,79.0,,0.83000,0.95,0.95,0.45,0.7
TENX,104,41.45,,,,,,,,,none,late,micro,False,92.75,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
TECH,105,41.20,,,,,,,,,none,late,large,False,39.68,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,88.0,,0.87000,0.95,0.95,0.65,0.7
SGMT,106,41.11,,,,,,,,,none,late,micro,False,7.25,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
BCRX,107,40.89,,,,,,,,,none,late,small,False,7.25,60,,,,,,4,Perceptive,,,,,,50,unknown,50,,100.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
MAZE,108,40.73,,,,,,,,,none,mid,mid,False,92.75,60,,,,,,5,,,,,,,50,unknown,50,,75.0,,46.0,,0.74500,0.95,0.85,0.45,0.7
FATE,109,40.52,,,,,,,,,none,mid,micro,False,36.95,60,,,,,,4,,,,,,,50,unknown,67.2,,100.0,,84.0,,0.83000,0.95,0.95,0.45,0.7
ROIV,110,40.04,,,,,,,,,none,mid,large,False,64.07,60,,,,,,3,Baker Bros,,,,,,50,unknown,50,,100.0,,35.0,,0.74000,0.95,0.85,0.45,0.7
