ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
GILD,60,48.91,,,,,,,,,none,late,large,True,40.49,60,-0.0705,63.40,49.41,16.78,52.40,1,,48.00,LOW,LOW,49.29,ev_cfo,0.8000,46.37,exceptional,Galapagos; Arcus Biosciences,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
OPK,61,48.74,,,,,,,,,none,early,small,False,12.69,60,-0.2618,50.00,50.00,0,50.00,0,,53.00,LOW,LOW,84.57,ev_revenue,0.8000,50,unknown,,50,,90.0,moderate,60.0,focused,0.80500,0.95,0.85,0.45,0.7
ZYME,62,48.63,,,,,,,,,none,early,small,False,61.98,60,0.0888,50.00,50.00,0,65.60,10,,76.00,LOW,LOW,12.50,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,60.0,focused,0.83000,0.95,0.95,0.45,0.7
KMDA,63,48.59,,,,,,,,,none,late,small,False,49.62,60,-0.0028,50.00,50.00,0,50.00,0,,41.00,LOW,LOW,80.43,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,82.0,diversified,0.57500,0.1,0.95,0.45,0.7
DVAX,64,48.54,,,,,,,,,none,late,small,False,68.74,60,0.1388,50.00,50.00,0,51.20,4,,75.00,LOW,LOW,35.00,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ANIP,65,48.47,,,,,,,,,none,late,small,False,15.72,60,-0.2406,50.00,50.00,0,55.40,5,,71.00,MEDIUM,MODERATE,75.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,76.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
GERN,66,48.44,,,,,,,,,none,late,small,False,26.51,60,-0.1648,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,74.84,mcap_per_trial,0.8000,50,unknown,,64.8,ODD; FT,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ALLO,67,48.04,,,,,,,,,none,late,small,False,52.16,60,0.0160,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,88.51,mcap_per_trial,0.8000,50,unknown,,72.0,ODD; FT; RMAT,100.0,highly_crowded,84.0,diversified,0.83000,0.95,0.95,0.45,0.7
TRDA,68,47.66,,,,,,,,,none,early,small,False,92.75,60,0.4166,50.00,50.00,0,49.00,1,Baker Bros,68.00,LOW,LOW,48.21,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,64.0,focused,0.80500,0.95,0.85,0.45,0.7
AMPH,69,47.42,,,,,,,,,none,late,small,False,21.43,60,-0.2005,50.00,50.00,0,50.00,0,,61.00,MEDIUM,MODERATE,76.43,ev_cfo,0.8000,50,unknown,,50,,80.0,crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CAI,70,47.30,,,,,,,,,none,late,mid,False,7.25,60,-0.3412,92.32,94.62,100.00,60.20,6,,57.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CLDX,71,46.36,,,,,,,,,none,late,small,False,24.33,60,-0.1801,63.40,49.41,16.78,64.80,7,Baker Bros,77.00,LOW,MODERATE,74.22,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
VRTX,72,46.26,,,,,,,,,none,late,large,False,40.20,60,-0.0726,65.00,56.11,35.36,54.80,7,,54.00,LOW,LOW,36.43,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
INDV,73,46.00,,,,,,,,,none,early,mid,False,47.30,60,-0.0200,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,59.29,ev_cfo,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80000,0.95,0.85,0.45,0.7
SLN,74,45.95,,,,,,,,,none,mid,micro,False,7.25,60,-0.3924,50.00,50.00,0,50.00,0,,41.00,LOW,LOW,77.27,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
PTGX,75,45.73,,,,,,,,,none,mid,mid,False,46.92,60,-0.0228,50.00,50.00,0,57.20,4,Perceptive,59.00,LOW,MODERATE,30.71,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.7
TVTX,76,45.69,,,,,,,,,none,late,mid,False,35.34,60,-0.1086,50.00,50.00,0,61.20,4,RA Capital,59.00,MEDIUM,MODERATE,43.09,ev_revenue,0.8000,50,unknown,,50,,20.0,uncrowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.7
ABCL,77,45.55,,,,,,,,,none,early,small,False,7.25,60,-0.3638,50.00,50.00,0,53.00,2,Baker Bros,80.00,MEDIUM,HIGH,50,neutral,0.2,50,unknown,,50,,90.0,highly_crowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.7
AXSM,78,45.42,,,,,,,,,none,late,mid,False,75.58,60,0.1795,73.70,65.42,46.10,58.40,6,Perceptive,75.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,69.8,BTD; FT,90.0,moderate,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
BCYC,79,45.25,,,,,,,,,none,mid,small,False,7.25,60,-0.3207,73.70,57.61,20.07,56.40,2,Baker Bros,57.00,LOW,LOW,55.45,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.7
MIRM,80,45.15,,,,,,,,,none,late,mid,False,77.92,60,0.1959,50.00,50.00,0,60.60,4,Perceptive,67.00,MEDIUM,MODERATE,12.86,ev_cfo,0.8000,43.75,strong,Ipsen,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
