Rank,Ticker,Composite_Score,Financial_Score,Clinical_Score,Catalyst_Score,Stage,Market_Cap_MM
266,SRRK,33.28,23.71,,50.00,early,
267,OMER,33.23,0.00,,50.00,late,
268,FTRE,33.12,23.20,,50.00,early,
269,PSNL,32.96,22.68,,50.00,early,
270,GLPG,32.86,58.18,,50.00,late,
271,RLAY,32.80,22.16,,50.00,early,
272,LYEL,32.77,41.82,,50.00,late,
273,CRBU,32.64,21.65,,50.00,early,
274,KYTX,32.47,21.13,,50.00,early,
275,JANX,32.31,20.62,,50.00,early,
276,LXEO,32.15,20.10,,50.00,early,
277,TRVI,31.99,19.59,,50.00,early,
278,EPRX,31.82,19.07,,50.00,early,
279,ACRS,31.59,25.45,,50.00,late,
280,PHAT,31.55,33.64,,50.00,late,
281,PCVX,31.34,17.53,,50.00,early,
282,NMRA,31.27,46.36,,50.00,late,
283,TNGX,31.17,17.01,,50.00,early,
284,CTNM,31.14,34.55,,50.00,late,
285,NRIX,30.85,15.98,,50.00,early,
286,MDGL,30.69,15.46,,50.00,early,
287,PTGX,30.52,14.95,,50.00,early,
288,SYRE,30.50,13.33,,50.00,mid,
289,ADPT,30.36,14.43,,50.00,early,
290,XENE,30.04,13.40,,50.00,early,
291,VTYX,29.88,12.89,,50.00,early,
292,ARDX,29.71,12.37,,50.00,early,
293,AVTR,29.55,11.86,,50.00,early,
294,ARQT,29.22,10.82,,50.00,early,
295,ORKA,29.17,40.00,,50.00,mid,
296,CYTK,29.06,10.31,,50.00,early,
297,RCUS,28.95,27.27,,50.00,late,
298,XNCR,28.90,9.79,,50.00,early,
299,DSGN,28.74,9.28,,50.00,early,
300,APGE,28.25,7.73,,50.00,early,
301,ACLX,28.09,7.22,,50.00,early,
302,CRNX,27.93,6.70,,50.00,early,
303,KYMR,27.77,6.19,,50.00,early,
304,ORIC,27.50,20.00,,50.00,late,
305,CLDX,27.44,5.15,,50.00,early,
306,OLMA,27.11,4.12,,50.00,early,
307,NUVL,26.95,3.61,,50.00,early,
308,CGON,26.79,3.09,,50.00,early,
309,TKNO,26.63,2.58,,50.00,early,
310,MNMD,26.46,2.06,,50.00,early,
311,SVRA,26.30,1.55,,50.00,early,
312,RVMD,26.14,1.03,,50.00,early,
313,SNDX,26.00,20.91,,50.00,late,
314,INSM,25.98,0.52,,50.00,early,
315,AGIO,22.64,15.45,,50.00,late,
316,CRSP,22.14,18.18,,50.00,late,
317,NUVB,21.41,10.91,,50.00,late,
318,SPRY,21.13,16.36,,50.00,late,
319,ABSI,20.77,1.82,,50.00,late,
320,ATAI,18.23,5.45,,50.00,late,
321,CRVS,14.46,4.55,,50.00,late,
322,PGEN,12.50,0.00,,50.00,mid,
